Player1,Player2
,
R,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
S,R
R,P
R,P
P,S
P,R
